objid,ra,dec,u-type,u-peaks,g-type,g-peaks,r-type,r-peaks,i-type,i-peaks,status
1237663784206402457,20.656066378121,0.0239001140701227,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(38, 10)(38, 11)]",success
1237666407915979194,23.8108627969518,-0.187048766696942,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(62, 53)(52, 50)]",success
1237666407915979191,23.8121816697349,-0.186760197122846,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(50, 50)(40, 47)]",success
1237657069547422218,24.9251735805866,-1.02661673744476,NO_PEAK,"[]",DOUBLE,"[(50, 51)(51, 51)]",NO_PEAK,"[]",SINGLE,"[(2, 14)]",success
1237663783671169084,24.2934964024915,-0.350335389874062,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(29, 71)]",DOUBLE,"[(60, 20)(99, 37)]",success
1237666407381467524,29.1613777557571,-0.54399389409997,NO_PEAK,"[]",DOUBLE,"[(50, 50)(51, 50)]",NO_PEAK,"[]",SINGLE,"[(11, 30)]",success
1237666338653864003,20.6744000370332,-0.449793674762426,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(34, 79)(34, 54)]",success
1237663783136854650,30.1733535569142,-0.79348799018753,DOUBLE,"[(24, 34)(19, 37)]",NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(21, 37)]",success
1237663783126761701,7.08580678002931,-0.836433471100333,NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(51, 50)(50, 51)]",NO_PEAK,"[]",success
1237663783126761700,7.08625286309247,-0.836566156369937,NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(46, 52)(47, 51)]",NO_PEAK,"[]",success
