objid,pid1,photoZ1,photoZ_err1,schlegelZ1,schlegelZ_err1,absMagR1,u1,g1,r1,i1,z1,pid2,photoZ2,photoZ_err2,schlegelZ2,schlegelZ_err2,absMagR2,u2,g2,r2,i2,z2
1237663237129895995,1237663237129896013,0.629915,0.096814,0.1394576,3.4111E-05,-19.7711,20.74879,18.97937,17.81028,17.30943,16.87457,1237663237129896013,0.629915,0.096814,0.1394576,3.4111E-05,-19.7711,20.74879,18.97937,17.81028,17.30943,16.87457
1237663237130092973,1237663237130093239,-9999,-9999,null,null,-21.9442,22.84151,21.07878,19.91105,19.28078,18.83393,1237663237130093239,-9999,-9999,null,null,-21.9442,22.84151,21.07878,19.91105,19.28078,18.83393
1237663237130158598,1237663237130158599,0.322811,0.070031,null,null,-20.5508,22.94476,22.14079,20.9722,20.25282,19.91242,1237663237130158599,0.322811,0.070031,null,null,-20.5508,22.94476,22.14079,20.9722,20.25282,19.91242
1237663237130224020,1237663237130224020,0.368699,0.058372,null,null,-21.0064,22.42821,21.62781,20.60498,20.34095,19.88737,1237663237130224020,0.368699,0.058372,null,null,-21.0064,22.42821,21.62781,20.60498,20.34095,19.88737
1237663237130289551,1237663237130289551,0.236819,0.033018,null,null,-22.0018,21.96818,20.31378,18.94004,18.34812,18.00717,1237663237130289551,0.236819,0.033018,null,null,-22.0018,21.96818,20.31378,18.94004,18.34812,18.00717
1237663237130289669,1237663237130289669,0.349876,0.02749,0.3582506,0.000175326,-21.9991,24.99125,21.9314,20.03054,19.35082,18.83456,1237663237130289669,0.349876,0.02749,0.3582506,0.000175326,-21.9991,24.99125,21.9314,20.03054,19.35082,18.83456
1237663237130420514,1237663237130420792,0.378534,0.113057,null,null,-20.7267,24.22536,22.177,20.86145,20.31694,20.06532,1237663237130420792,0.378534,0.113057,null,null,-20.7267,24.22536,22.177,20.86145,20.31694,20.06532
1237663237130420539,1237663237130420539,0.369509,0.186282,null,null,-20.5692,24.26537,22.16273,21.50114,20.89006,20.63537,1237663237130420539,0.369509,0.186282,null,null,-20.5692,24.26537,22.16273,21.50114,20.89006,20.63537
1237663237130551609,1237663237130551609,0.633459,0.140087,null,null,-21.8502,24.56159,22.93274,22.02289,21.22795,20.62109,1237663237130551609,0.633459,0.140087,null,null,-21.8502,24.56159,22.93274,22.02289,21.22795,20.62109
1237663237130551610,1237663237130551888,0.150363,0.066935,null,null,-17.2009,23.169,21.79963,19.71558,19.12776,18.61251,1237663237130551888,0.150363,0.066935,null,null,-17.2009,23.169,21.79963,19.71558,19.12776,18.61251
1237663237130552400,1237663237130551780,0.273255,0.07692,null,null,-21.6294,26.5029,23.77482,24.11221,22.14685,22.46334,1237663237130552400,0.324217,0.157236,null,null,-18.3555,26.5029,23.77482,24.11221,22.14685,22.46334
1237663237130748991,1237663237130748991,-9999,-9999,null,null,-20.5206,21.50786,25.36419,23.89931,23.14111,21.55853,1237663237130748991,-9999,-9999,null,null,-20.5206,21.50786,25.36419,23.89931,23.14111,21.55853
1237663237131272363,1237663237131272363,0.258638,0.024797,null,null,-22.4196,26.22887,20.4856,18.82368,18.16632,17.78713,1237663237131272363,0.258638,0.024797,null,null,-22.4196,26.22887,20.4856,18.82368,18.16632,17.78713
