objid,ra,dec,u-type,u-peaks,g-type,g-peaks,r-type,r-peaks,i-type,i-peaks
1237648722832195859,159.082457257126,1.06722866155891,NO_PEAK,"[]",SINGLE,"[(46, 48)]",DOUBLE,"[(45, 48)(50, 50)]",DOUBLE,"[(45, 48)(50, 50)]"
1237651735211016337,159.221377033442,1.26067689921219,NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(50, 50)(56, 53)]",NO_PEAK,"[]"
1237665567686132090,227.58366788601,20.0576874253115,SINGLE,"[(67, 10)]",NO_PEAK,"[]",DOUBLE,"[(18, 32)(24, 35)]",DOUBLE,"[(18, 32)(24, 35)]"
1237665567149195927,227.316179466551,19.8905511083642,DOUBLE,"[(32, 24)(37, 29)]",NO_PEAK,"[]",SINGLE,"[(50, 49)]",SINGLE,"[(50, 51)]"
1237665567148802831,226.440391725004,20.116208389572,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(39, 58)]",DOUBLE,"[(50, 50)(41, 58)]"
1237665530643480789,226.426563100112,20.3400516387298,NO_PEAK,"[]",SINGLE,"[(43, 42)]",SINGLE,"[(43, 42)]",DOUBLE,"[(43, 42)(50, 50)]"
1237662636364005483,213.60930217232,12.6240192040588,SINGLE,"[(28, 28)]",DOUBLE,"[(50, 50)(40, 43)]",DOUBLE,"[(50, 50)(34, 59)]",DOUBLE,"[(49, 50)(33, 58)]"
1237662528992182495,213.527871019196,12.6121601007457,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(50, 50)]",DOUBLE,"[(50, 50)(35, 53)]"
1237662635827134476,213.576233077234,12.3435799006188,NO_PEAK,"[]",SINGLE,"[(44, 2)]",DOUBLE,"[(50, 50)(45, 2)]",DOUBLE,"[(50, 50)(45, 3)]"
1237662636363612223,212.814434610315,12.726737540689,NO_PEAK,"[]",SINGLE,"[(38, 38)]",DOUBLE,"[(38, 38)(50, 50)]",DOUBLE,"[(38, 37)(50, 49)]"
1237662635826806916,212.793335682473,12.3193490479104,SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]",SINGLE,"[(51, 50)]",DOUBLE,"[(49, 50)(64, 50)]"
1237662200424693908,213.08127374732,12.0031242618179,NO_PEAK,"[]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]",DOUBLE,"[(50, 50)(37, 64)]"
1237662528991789128,212.566181903412,12.57572748404,NO_PEAK,"[]",DOUBLE,"[(50, 50)(46, 62)]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]"
