index,objid,ra,dec
3035,1237657192515830485,0.0655716562275757,1.14655029305843
3050,1237663784197424121,0.0660716671130945,0.0885017863213701
3123,1237657191979025466,0.185216424778105,0.70803055603048
3230,1237663783123681786,0.0612975563000138,-0.77876258062143
3261,1237663278464696893,0.172322231930792,1.02228619949825
3275,1237657190368411880,0.172625176222084,-0.582880128961753
3289,1237657190368412728,0.172946477646292,-0.601388265075534
3300,1237657192515896363,0.173169989394125,1.12563270122557
3326,1237663275780342407,0.173732370616193,-1.15773554312043
3388,1237663784197423503,0.0175453836282653,0.0228942174900431
3458,1237663783660553176,0.113191465529701,-0.300311931385354
3518,1237657190905217943,0.071183733312921,-0.139156399013927
3522,1237663784197423649,0.0712276069375921,0.174874155800901
3576,1237666408442430102,0.0723390460192377,0.35464308024596
3602,1237663784197424130,0.0730709973289283,0.0826363826156081
3610,1237663784197423981,0.0733087104257173,0.171274403801493
3627,1237663278464696827,0.15082833520745,0.893394312254164
3748,1237657192515830422,0.0363230892733668,1.13379909699538
3788,1237657191978959718,0.0374137740776064,0.791136424641176
3858,1237657190368412159,0.170778972346739,-0.560697140100173
3921,1237663784197423957,0.0451952280939576,0.164162375968368
4021,1237657191979025435,0.168251180370589,0.667831003852852
4077,1237657190905217471,0.0141361001485052,-0.138601869313119
4083,1237663784197424078,0.0144214861941627,0.189771656905105
4130,1237663278464631362,0.0156822024751762,0.952215749148076
4161,1237663278464696709,0.11034800895834,1.01380727017613
4231,1237663784197423772,0.112240127895626,0.0714508084012409
4255,1237663784197424072,0.00722788988877276,0.0382478044687579
4277,1237663275780276774,0.00773249387148667,-1.097111286297
4286,1237663278464631825,0.00799573345526028,0.937838184838876
4343,1237657192515895659,0.10286509689729,1.07099003649062
4347,1237663278464696687,0.102911972236456,1.01088637218898
4385,1237657192515895658,0.103782116806656,1.07227140329881
4412,1237656906355114920,0.104409779850016,-0.887968387109306
4904,1237663278464696777,0.136563726077839,0.893444866260174
4924,1237666408442496207,0.137114300646374,0.289831776671414
4968,1237666408442495850,0.137830227732479,0.230510239402689
5103,1237663784197489059,0.163009056789518,0.081627535739211
5156,1237663783660618438,0.164158228208999,-0.244191535049234
5174,1237657191979025048,0.16478062997885,0.666399801774333
5208,1237657190368347009,0.0741168434654469,-0.611779195787736
5299,1237663278464696837,0.153487117739161,1.01496104276815
5437,1237663783123682163,0.0828926282738927,-0.687507393718205
5540,1237657190368412481,0.162451947114903,-0.455150933069568
5668,1237663278464696801,0.144312345497269,0.878659899009763
6055,1237663784197424231,0.149259982968989,0.147582233921222
6123,1237666408442430515,0.0839277477609812,0.283007681839279
6124,1237663784197423672,0.0839367908406121,0.0742645391257173
6133,1237663783123682165,0.0841429995347838,-0.690272930443856
6186,1237663784197423679,0.0854193326947588,0.0755749975760972
6187,1237663784197423682,0.0854336039221764,0.163047094468923
6206,1237656906355114364,0.0858157555376806,-0.935266180138993
6252,1237657191979025462,0.182684494403645,0.706757179621866
6319,1237663783123682346,0.0866790894538507,-0.683295757519395
6326,1237663275780342071,0.0867431266924257,-1.20447394329481
6423,1237657190368412194,0.186970888553788,-0.622571408268691
6469,1237663278464696923,0.187953828119475,0.998089893032174
6502,1237663783660552930,0.00303518174913187,-0.309706974739092
6504,1237663275780277220,0.00307736175497553,-1.11081917099058
6505,1237663783660552480,0.00309142144414132,-0.319239402666368
6514,1237657190905217449,0.00340569027423498,-0.142005629704261
6527,1237663783660552565,0.00365500854467093,-0.302259747089521
6535,1237663278464631612,0.00385675228858418,0.962154231425969
6630,1237663784197423417,0.0993319138656226,0.0937106916726897
6664,1237663783123681881,0.0885165188220611,-0.686373051385212
6695,1237656906355114648,0.0894016947134446,-0.9469347205766
6701,1237663783123682171,0.0895255795827623,-0.657353662716856
6734,1237657191978960252,0.0903507660096352,0.816912864321694
6761,1237657191979025079,0.179327356939041,0.707684134652433
6788,1237663278464696909,0.180280344029768,1.01788510191694
6907,1237657190368347014,0.0777981540955466,-0.608128386409257
6953,1237663275780342411,0.177739109568108,-1.15808477990415
