objid,bands,pid1,pid2
1237657401878970572,g,1237657401878970572,1237657401878970572
1237657118948131039,g,1237657118948131039,1237657118948131039
1237657769628729661,u,1237657769628729661,1237657769628729661
1237657606426984601,gri,1237657606426984601,1237657606426984603
1237657606426984614,i,1237657606426984614,1237657606426984615
1237657606426591393,u,1237657606426591393,1237657606426591393
1237657769628270805,gri,1237657769628270805,1237657769628270805
1237657606426722319,ri,1237657606426722319,1237657606426722326
1237657118948393201,g,1237657118948393201,1237657118948393201
1237657606426722443,ri,1237657606426722443,1237657606426722443
1237657606426787999,r,1237657606426787999,1237657606426788000
1237657606427181194,i,1237657606427181194,1237657606427181194
1237657606427181217,gri,1237657606427181217,1237657606427181217
1237657606427181270,gr,1237657606427181270,1237657606427181270
1237655464857043478,ri,1237655464857043478,1237655464857043479
1237655463783301366,g,1237655463783301366,1237655463783301366
1237655463783301403,u,1237655463783301403,1237655463783301403
1237655463783432199,r,1237655463783432202,1237655463783432199
1237655464857174245,i,1237655464857174245,1237655464857174245
1237655348892401671,i,1237655348892401671,1237655348892401671
1237655464857239663,g,1237655464857239663,1237655464857239663
1237655348892401962,ri,1237655348892401962,1237655348892401964
1237655464857108694,g,1237655464857108694,1237655464857108697
1237655347818594502,g,1237655347818594502,1237655347818594502
1237649962994696533,g,1237649962994696533,1237649962994696533
1237652900772512257,i,1237652900772512257,1237652900772512257
1237649962994761872,r,1237649962994761872,1237649962994761872
1237649962458022142,r,1237649962458022142,1237649962458022145
1237652899162751050,i,1237652899162751050,1237652899162751050
1237649961385001242,g,1237649961385001242,1237649961385001242
1237649961385066613,gri,1237649961385066613,1237649961385066614
1237652899699818797,r,1237652899699818797,1237652899699818797
1237649961921937574,i,1237649961921937574,1237649961921937576
1237649961922134200,r,1237649961922134200,1237649961922134201
1237652899162554563,ri,1237652899162554563,1237652899162554563
1237652900236558698,i,1237652900236558698,1237652900236558698
1237652899162489059,ri,1237652899162489059,1237652899162489059
1237652900236361920,i,1237652900236361920,1237652900236361920
1237652899699556485,i,1237652899699556485,1237652899699556485
1237649961921806476,i,1237649961921806476,1237649961921806476
1237649961921740982,ri,1237649961921740982,1237649961921740984
1237652899162423442,ri,1237652899162423442,1237652899162423442
1237649961384673367,r,1237649961384673367,1237649961384673369
1237652900236361960,g,1237652900236361960,1237652900236361960
1237652900236165211,ri,1237652900236165211,1237652900236165211
1237663784202731644,i,1237663784202731644,1237663784202731646
1237663204919476282,i,1237663204919476282,1237663204919476282
1237663784202600744,g,1237663784202600744,1237663784202600744
1237663204919607370,gri,1237663204919607370,1237663204919607369
1237663782592971112,i,1237663782592971112,1237663782592971112
1237666338651111859,ri,1237666338651111859,1237666338651111859
1237663782592905249,gri,1237663782592905249,1237663782592905263
1237666338114109571,ugri,1237666338114109571,1237666338114109573
1237666338114109734,i,1237666338114109734,1237666338114109734
1237666339187851360,gr,1237666339187851362,1237666339187851360
1237666339187720395,g,1237666339187720395,1237666339187720396
1237663783129514215,ri,1237663783129514217,1237663783129514216
1237656971302010958,ugri,1237656971302010958,1237656971302010958
1237663782592380988,i,1237663782592380987,1237663782592380993
1237663783666057531,ri,1237663783666057531,1237663783666057532
1237663782592315866,ri,1237663782592315866,1237663782592315866
1237663783128990468,r,1237663783128990468,1237663783128990468
1237648722836062301,gr,1237648722836062301,1237648722836062301
1237674651534164040,i,1237674651534164040,1237674651534164041
1237674650460422508,gr,1237674650460422507,1237674650460422508
1237674649924403417,ri,1237674649924403417,1237674649924403420
1237674649924337848,gri,1237674649924337847,1237674649924337848
1237648721226432648,u,1237648721226432648,1237648721226432648
1237674648850399277,g,1237674648850399277,1237674648850399277
1237655464854946004,ri,1237655464854946004,1237655464854946005
1237655465391816752,ri,1237655465391816752,1237655465391816752
1237655348890304603,gri,1237655348890304603,1237655348890304603
1237655464855208185,r,1237655464855208185,1237655464855208185
1237655464855208277,r,1237655464855208277,1237655464855208279
1237655464855142508,ri,1237655464855142508,1237655464855142508
1237651249883447471,ri,1237651249883447471,1237651249883447472
1237651249883447445,gr,1237651249883447445,1237651249883447445
1237654398077370449,g,1237654398077370449,1237654398077370449
1237654398077304933,r,1237654398077304933,1237654398077304933
1237651250957058230,u,1237651250957058230,1237651250957058230
1237654399151046696,gri,1237654399151046697,1237654399151046697
1237654399687917750,i,1237654399687917750,1237654399687917750
1237651249883185271,r,1237651249883185271,1237651249883185271
1237651249883119727,g,1237651249883119727,1237651249883119727
1237654398613979490,i,1237654398613979490,1237654398613979491
1237654399150719037,g,1237654399150719037,1237654399150719037
1237651065737314428,r,1237651065737314428,1237651065737314427
1237654399687655591,ri,1237654399687655591,1237654399687655591
1237651250956796074,u,1237651250956796074,1237651250956796074
1237651067884929275,g,1237651067884929275,1237651067884929275
1237651067884994656,g,1237651067884994656,1237651067884994656
1237651067347861620,i,1237651067347861620,1237651067347861620
1237654400224657527,gri,1237654400224592170,1237654400224592170
1237654400761790563,ugri,1237654400761790563,1237654400761790563
1237666299481817304,ug,1237666299481817306,1237666299481817306
1237660241387520324,ri,1237660241387520324,1237660241387520324
1237663238739067376,ri,1237663238739067376,1237663238739067376
1237663238739460332,r,1237663238739461051,1237663238739461051
1237660241388110534,r,1237660241388110534,1237660241388110534
1237651822711538004,ri,1237651822711538004,1237651822711538004
1237654880202850349,ri,1237654880202850349,1237654880202850349
1237654880739721451,i,1237654880739721451,1237654880739721467
1237654880202981584,i,1237654880202981584,1237654880202981585
1237655742406656260,ri,1237655742406656260,1237655742406656261
1237662305117077692,g,1237662305117077692,1237662305117077692
1237662663744618713,gri,1237662663744618713,1237662663744618713
1237662305117143073,gr,1237662305117143073,1237662305117143135
1237662225689673839,r,1237662225689673839,1237662225689673839
1237662225152803025,g,1237662225152803025,1237662225152803027
1237662663207682261,gri,1237662663207682261,1237662663207682262
1237662226226610345,g,1237662226226610345,1237662226226610346
1237662225152933987,gr,1237662225152933987,1237662225152933989
1237662663208075353,ri,1237662663208075353,1237662663208075353
1237662225690001517,g,1237662225690001517,1237662225690001517
1237662225153065047,g,1237662225153065047,1237662225153065047
1237662225153196235,gri,1237662225153196235,1237662225153196235
1237662225690001559,gri,1237662225690001559,1237662225690001559
1237662225690001553,g,1237662225690001553,1237662225690001553
1237662225153196323,gri,1237662225153196323,1237662225153196323
1237662305117339822,u,1237662305117339822,1237662305117339822
1237662305117339798,ri,1237662305117339798,1237662305117339798
1237662305117274304,ri,1237662305117274304,1237662305117274304
