objid,ra,dec
1237663783668023359,17.15068754,-0.3739097226
1237663783669072911,19.50389278,-0.2566914048
1237663783669072920,19.50919475,-0.2478273399
1237663783669072956,19.53920674,-0.3720024841
1237663783669073132,19.58029952,-0.3829636516
1237663783669137506,19.73288179,-0.3959353616
1237663783669137584,19.61696406,-0.3059429311
1237663783669137757,19.65821895,-0.2597637654
1237663783669137860,19.61659387,-0.2959147685
1237663783669137870,19.62523801,-0.3331153885
1237663783669137883,19.62339491,-0.3010259716
1237663783669137884,19.62379139,-0.2890740339
1237663783668024274,17.15880686,-0.2398158467
1237663783668024313,17.18524602,-0.2260651505
1237663783668024326,17.19142207,-0.2781423823
1237663783668024342,17.20301875,-0.2758434459
1237663783669137954,19.64395751,-0.267126199
1237663783669137976,19.6499908,-0.3053687387
1237663783669138040,19.66623902,-0.418051845
1237663783669138041,19.66691653,-0.4182860585
1237663783669138158,19.71136934,-0.2708694016
1237663783669138210,19.73600482,-0.2511343705
1237663783669138245,19.75536816,-0.2540788654
1237663783669138257,19.75855397,-0.4207874483
1237663783669138356,19.67452302,-0.2629309819
1237663783669138407,19.73057564,-0.3359641379
1237663783669138429,19.74778822,-0.3008872237
1237663783669138432,19.7489862,-0.2151373139
1237663783669138576,19.72024591,-0.2490469545
1237663783669138679,19.69361851,-0.3947582589
1237663783669202971,19.81968778,-0.2757656985
1237663783669203185,19.76530241,-0.3785933763
1237663783669203330,19.76153819,-0.2517148792
1237663783669203507,19.82629489,-0.3287351559
1237663783669203524,19.8336556,-0.2340439026
1237663783669203596,19.85373713,-0.3477167178
1237663783669203653,19.87082423,-0.4080889976
1237663783669203655,19.87107373,-0.3844059193
1237663783668089619,17.32984134,-0.3436854507
1237663783667106273,15.04915468,-0.2777223489
1237663783668089762,17.36260983,-0.3083935071
1237663783669203861,19.79691432,-0.2171894657
1237663783669203889,19.81227895,-0.2747603748
1237663783669203941,19.85629325,-0.3544363086
1237663783669203984,19.89059272,-0.3062194099
1237663783668089974,17.34659713,-0.2554095779
1237663783668089979,17.34884342,-0.2415855596
1237663783668090011,17.36282117,-0.2885508873
1237663783668090142,17.36138959,-0.3984939735
1237663783669204053,19.79242534,-0.3300533213
1237663783669204129,19.87836502,-0.360124669
1237663783669204187,19.79399773,-0.2388798204
