objid,pid1,pid2
1237663239278363203,1237663239278363203,1237663239278363203
1237663204923277704,1237663204923277704,1237663204923277704
1237663204922556884,1237663204922556884,1237663204922556884
1237663204921967302,1237663204921967309,1237663204921967302
1237663204920984056,1237663204920984445,1237663204920984445
1237663204920460015,1237663204920460015,1237663204920460005
1237663204920132586,1237663204920132586,1237663204920132586
1237663204920132183,1237663204920132182,1237663204920132183
1237663204919345634,1237663204919345854,1237663204919345854
1237663204918362692,1237663204918363153,1237663204918363153
1237663204917903829,1237663204917903819,1237663204917903824
1237660239777956660,1237660239777956660,1237660239777956660
1237660204878725769,1237660333728334578,1237660333728334578
1237657584949658261,1237657584949658261,1237657584949658261
1237657191980728334,1237657191980728687,1237657191980728687
1237657191447593646,1237657191447593644,1237657191447593644
1237657191447593645,1237657191447593645,1237657191447593645
1237657071697592576,1237657071697592576,1237657071697592576
1237657071697200198,1237657071697199628,1237657071697199625
1237657071697135017,1237657071697133951,1237657071697133951
1237657071696675588,1237657071696675060,1237657071696675060
1237657070089733138,1237657070089732450,1237657070089732450
1237657070088160352,1237657070088160223,1237657070088160223
1237657069547815378,1237657069547815378,1237657069547815378
1237657069547028615,1237657069547029098,1237657069547029098
1237657069546635983,1237657069546635649,1237657069546635649
1237656971302011487,1237656971302011486,1237656971302011487
1237656971300963456,1237656971300962542,1237656971300962541
1237656971300438837,1237656971300438613,1237656971300438613
1237656971300373044,1237656971300373271,1237656971300373271
1237656971300241826,1237656971300241819,1237656971300241819
1237645943980359982,1237645943980360382,1237645943980360382
1237645943979573739,1237645943979573739,1237645943979573739
1237645943979573688,1237645943979573688,1237645943979573689
1237645942906487458,1237645942906487457,1237645942906487458
1237663278466466322,1237663278466466322,1237663278466466322
1237663784201814292,1237663784201814291,1237663784201814292
1237663204919345642,1237663204919345642,1237663204919345642
1237657189836521792,1237657189836521792,1237657189836521791
1237663783133708437,1237663783133708437,1237663783133708437
1237666338651046095,1237666338651046095,1237666338651046095
1237657071698641034,1237657071698641034,1237657071698641034
1237657587097993342,1237657587097993341,1237657587097993343
1237645943978590891,1237645943978590891,1237645943978590891
1237645943979180299,1237645943979180298,1237645943979180299
1237663204922884300,1237663204922884300,1237663204922884300
1237657586030346269,1237657586030346269,1237657586030346269
1237657071697592367,1237657071697592367,1237657071697592367
1237645943979311273,1237645943979311273,1237645943979311273
1237663784200635135,1237663784200635135,1237663784200635135
1237663784200503475,1237663784200504571,1237663784200504571
1237663784200503314,1237663784200503314,1237663784200503315
1237663784199913886,1237663784199913886,1237663784199913886
1237660241925702013,1237660241925702016,1237660241925702016
1237660241923015271,1237660241923015270,1237660241923015272
1237660241386406093,1237660241386406092,1237660241386406092
1237660241386144387,1237660241386144387,1237660241386144387
1237660241386144363,1237660241386144363,1237660241386144363
1237660240315089756,1237660240315089756,1237660240315089756
1237660240313910246,1237660240313909725,1237660240313909725
1237660240313647833,1237660240313647833,1237660240313647833
1237663784197620887,1237663784197620075,1237663784197620075
1237663783681000055,1237663783681000059,1237663783681000059
1237663783679164885,1237663783679164885,1237663783679164885
1237663783679033585,1237663783679033584,1237663783679033584
1237663783678640287,1237663783678640287,1237663783678640287
1237660027202830490,1237660027202830489,1237660027202830490
1237660024524701805,1237660024524701803,1237660024524701803
1237660024524439981,1237660024524439736,1237660024524439736
1237663783678378495,1237663783678378494,1237663783678378495
1237663783678248057,1237663783678247060,1237663783678247060
1237663783676870955,1237663783676870954,1237663783676870954
1237663783676543144,1237663783676543128,1237663783676543140
1237663783673856286,1237663783673856286,1237663783673856286
1237657587098386970,1237657587098386559,1237657587098386559
1237657587096158660,1237657587096158660,1237657587096158660
1237663784203977390,1237663784203977389,1237663784203977389
1237663783673725143,1237663783673725144,1237663783673725144
1237663783673528442,1237663783673528437,1237663783673528438
1237663783141835150,1237663783141835150,1237663783141835152
1237663783673332258,1237663783673332258,1237663783673332258
1237663783672611637,1237663783672611636,1237663783672611637
1237663783672348877,1237663783672348877,1237663783672348877
1237663783671627978,1237663783671627978,1237663783671627979
1237663783671300236,1237663783671300236,1237663783671300236
1237663783670448379,1237663783670448142,1237663783670448142
1237663783670317441,1237663783670317441,1237663783670317441
1237663783670121090,1237663783670121090,1237663783670121090
1237663783669661849,1237663783669661849,1237663783669661849
1237663783669597000,1237663783669596988,1237663783669596987
1237663783669400183,1237663783669400183,1237663783669400183
1237663783669138041,1237663783669138041,1237663783669138041
1237663783669138040,1237663783669138040,1237663783669138040
1237663783665729786,1237663783665729786,1237663783665729786
1237663783668548105,1237663783668548105,1237663783668548105
1237663783667958899,1237663783667957998,1237663783667957999
1237663783667826751,1237663783667826751,1237663783667826751
1237666339188572322,1237666339188572322,1237666339188572323
1237663783667762112,1237663783667762112,1237663783667762112
1237663783667171680,1237663783667171680,1237663783667171679
1237663783667695815,1237663783667695815,1237663783667695815
1237663783667368745,1237663783667369040,1237663783667369040
1237663783667040766,1237663783667040765,1237663783667040766
1237663783667040349,1237663783667040347,1237663783667040347
1237663783667958073,1237663783667958073,1237663783667958074
1237663783666844414,1237663783666844400,1237663783666844400
1237663783666713529,1237663783666712884,1237663783666712884
1237663783666516345,1237663783666516345,1237663783666516347
1237657191443660823,1237657191443660823,1237657191443660823
1237663783666123942,1237663783666123143,1237663783666123143
1237663783665926594,1237663783665926594,1237663783665926593
1237663783664157218,1237663783664157219,1237663783664157219
1237663783664091889,1237663783664091874,1237663783664091874
1237663783663764586,1237663783663763486,1237663783663763486
1237663783663502360,1237663783663502360,1237663783663502360
1237663783663501585,1237663783663501585,1237663783663501585
1237663783662388465,1237663783662387586,1237663783662387586
1237657190371951017,1237657190371950918,1237657190371950918
1237657190371623589,1237657190371623589,1237657190371623589
1237666339188572323,1237666339188572322,1237666339188572323
1237657190370967829,1237657190370967829,1237657190370967829
1237657190370574965,1237657190370574965,1237657190370574966
1237657190369592106,1237657190369591912,1237657190369591912
1237663783662387223,1237663783662387217,1237663783662387217
1237663783662256347,1237663783662256347,1237663783662256347
1237663783661338901,1237663783661338901,1237663783661338901
1237657071694840660,1237663784745108742,1237663784745108742
1237663783143604556,1237663783143604556,1237663783143604556
1237663783142359681,1237663783142359681,1237663783142359681
1237663783142097431,1237663783142097431,1237663783142097431
1237663783141703988,1237663783141704495,1237663783141704495
1237663783140524823,1237663783140524822,1237663783140524823
1237663783140197326,1237663783140197304,1237663783140197304
1237663783140065521,1237663783140065521,1237663783140065522
1237663784201290177,1237663784201290176,1237663784201290177
1237663783137903570,1237663783137903567,1237663783137903567
1237663784202010899,1237663784202011225,1237663784202011225
1237657070628569582,1237657070628569231,1237657070628569231
1237657070628569224,1237657070628569224,1237657070628569224
1237657070620247088,1237657070620246936,1237657070620246936
1237663783137772325,1237663783137772321,1237663783137772321
1237663783137247494,1237663783137247494,1237663783137247494
1237663783137182875,1237663783137181793,1237663783137181793
1237663783136985619,1237663783136985635,1237663783136985633
1237663783136789347,1237663783136788911,1237663783136788911
1237663783136788711,1237663783136788573,1237663783136788573
1237663783135806233,1237663783135806233,1237663783135806233
1237663783135674767,1237663783135674595,1237663783135674595
1237663783134823403,1237663783134823404,1237663783134823404
1237663783134561131,1237663783134561599,1237663783134561599
1237663783134495287,1237663783134495287,1237663783134495287
1237657190905938027,1237657190905938027,1237657190905938027
1237663783132791898,1237663783132726591,1237663783132726591
1237663783132463696,1237663783132463696,1237663783132463696
1237663784207188882,1237663784207188885,1237663784207188885
1237663784207385027,1237663784207385026,1237663784207385028
1237663784207385424,1237663784207385424,1237663784207385424
1237663784207647376,1237663784207648091,1237663784207648091
1237663784208564817,1237663784208564384,1237663784208564384
1237657192517075136,1237657192517075134,1237657192517075135
1237663784210793612,1237663784210793102,1237663784210793102
1237660240313517117,1237660240313517117,1237660240313517117
1237663784211185938,1237663784211185938,1237663784211185938
1237663784211514405,1237663784211514405,1237663784211514405
1237663784211775725,1237663784211775725,1237663784211775725
1237663783128334899,1237663783128334899,1237663783128334899
1237663784212890469,1237663784212890465,1237663784212890465
1237663784213283596,1237663784213283567,1237663784213283567
1237663784739864813,1237663784739864813,1237663784739864813
1237663543696359967,1237663543696359967,1237663543696359968
1237663783124009546,1237663783124009546,1237663783124009546
1237663782603391839,1237663782603391202,1237663782603391202
1237656512815825311,1237656512815825787,1237656512815825787
1237663782602735827,1237663782602735827,1237663782602735827
1237663782601949517,1237663782601949737,1237663782601949737
1237663782601557013,1237663782601557013,1237663782601557013
1237663278465024332,1237663278465024332,1237663278465024332
1237663782599393457,1237663782599393457,1237663782599393458
1237663784746877280,1237663784746877280,1237663784746877280
1237663782599197454,1237663782599197433,1237663782599197433
1237663782599000348,1237663782599000347,1237663782599000347
1237663716017242820,1237663716017242820,1237663716017242820
1237663716018291771,1237663716018291771,1237663716018291771
1237663716018356735,1237663716018356735,1237663716018356735
1237663785279750326,1237663785279750326,1237663785279750326
1237663716018685125,1237663716018684563,1237663716018684563
1237663716019012327,1237663716019012327,1237663716019012327
1237663278464958785,1237663278464958782,1237663278464958782
1237663716555424053,1237663716555424053,1237663716555424054
1237663782598083473,1237663782598083473,1237663782598083473
1237663782597755069,1237663782597755069,1237663782597755069
1237663785277915386,1237663785277915384,1237663785277915386
1237663782589562905,1237663782589562964,1237663782589562964
1237663782590218482,1237663782590218482,1237663782590218482
1237663782591136515,1237663782591136515,1237663782591136515
1237663782591332940,1237663782591332940,1237663782591332940
1237663237128912948,1237663237128912954,1237663237128912954
1237663782591464059,1237663782591464059,1237663782591464060
1237663782597230781,1237663782597230780,1237663782597230781
1237663782596379368,1237663782596379368,1237663782596379368
1237666302165451145,1237666302165451144,1237666302165451145
1237663782595920390,1237663782595920390,1237663782595920390
1237663782595854753,1237663782595854753,1237663782595854753
1237663782594871573,1237663782594871573,1237663782594871573
1237663275781390641,1237663275781390641,1237663275781390641
1237657071157969929,1237657071157969929,1237657071157970054
1237660024523195254,1237660024523195254,1237660024523194844
1237663237667815585,1237663237667815585,1237663237667816443
1237663238740902376,1237663238740837139,1237663238740902376
1237657070088618225,1237657070088618227,1237657070088618228
1237663782594085788,1237663782594085785,1237663782594085785
1237663784741896485,1237663784741896485,1237663784741896485
1237663238197150050,1237663238197150054,1237663238197150054
1237657190909411652,1237657190909411652,1237657190909411652
1237663238741950610,1237663238741950610,1237663238741950610
1237663784217281208,1237663784217281207,1237663784217281207
1237663277929988198,1237663277929988198,1237663277929988198
1237663277929792494,1237663277929792494,1237663277929792494
1237663277392330903,1237663277392330903,1237663277392330903
1237663275781587151,1237663275781587150,1237663275781587151
1237663275781390832,1237663275781390832,1237663275781390832
1237663275780932490,1237663275780932490,1237663275780932490
1237663239279149756,1237663239279149264,1237663239279149264
1237663239272923583,1237663239272923583,1237663239272923583
1237663239272333495,1237663239272333495,1237663239272333495
1237663238741164168,1237663238741164168,1237663238741164168
1237663238741099477,1237663238741098998,1237663238741098998
1237663238740246703,1237663238740246703,1237663238740246703
1237663238740050376,1237663238740050382,1237663238740050382
1237663238739919047,1237663238739919047,1237663238739919049
1237663238739002294,1237663238739002294,1237663238739002294
1237663238205341968,1237663238205341968,1237663238205341968
1237663238203834820,1237663238203834820,1237663238203834820
1237663237667029518,1237663237667029518,1237663237667029519
1237663782596182357,1237663782596182357,1237663782596182357
1237663237129896092,1237663237129896091,1237663237129896092
1237663237129765388,1237663237129765587,1237663237129765587
1237657584951427367,1237657584951427367,1237657584951427366
1237663237129765383,1237663237129765385,1237663237129765385
1237663237129765195,1237663237129765195,1237663237129765196
1237657071697264915,1237657071697264915,1237657071697264915
1237657071158755470,1237657071158755470,1237657071158755472
1237657070088356088,1237657070088356088,1237657070088356088
1237663204917444836,1237663204917444835,1237663204917444836
1237663204917379730,1237663204917380030,1237663204917380030
1237663204917313871,1237663204917313873,1237663204917313871
1237663204916921102,1237663204916921277,1237663204916921277
1237660239778415151,1237660239778415135,1237660239778415135
1237657069549912474,1237657069549912474,1237657069549912474
1237660239777890554,1237660239777890554,1237660239777890554
1237660239777563899,1237660239777563435,1237660239777563435
1237660239777563291,1237660239777562882,1237660239777562882
1237660024523981548,1237660024523981793,1237660024523981793
1237660024523915430,1237660024523915425,1237660024523915432
1237660024523588411,1237660024523587794,1237660024523587794
1237660024522081030,1237660024522080702,1237660024522080702
1237660024521032349,1237660024521032349,1237660024521032349
1237663783673398177,1237663783673398178,1237663783673398177
1237657192519631571,1237657192519631571,1237657192519631571
1237657192519434507,1237657192519369062,1237657192519369061
1237657192519172309,1237657192519172309,1237657192519172309
1237656512815759471,1237656512815759885,1237656512815759885
1237657191447789694,1237657191447789694,1237657191447789695
1237657191447003787,1237657191447003787,1237657191447003787
1237657191446479175,1237657191446479175,1237657191446479175
1237657191446216864,1237657191446216864,1237657191446216864
1237657191445889312,1237657191445889312,1237657191445889312
1237657191445627767,1237657191445627889,1237657191445627889
1237657191444644140,1237657191444644140,1237657191444644140
1237657191444185589,1237657191444185589,1237657191444185589
1237657190910853941,1237657190910853940,1237657190910853941
1237657190909477193,1237657190909477193,1237657190909477194
1237657190909149335,1237657190909149335,1237657190909149336
1237657190908690696,1237657190908690696,1237657190908690697
1237657190908166833,1237657190908166806,1237657190908166806
1237657190907970044,1237657190907970326,1237657190907970326
1237657190907314502,1237657190907314502,1237657190907314502
1237657190906921689,1237657190906921689,1237657190906921689
1237657190906855581,1237657190906855581,1237657190906855581
1237657190906331582,1237657190906331580,1237657190906331582
1237657190906266149,1237657190906266149,1237657190906266149
1237657190906265739,1237657190906265734,1237657190906265734
1237657190906200710,1237657190906200710,1237657190906200710
1237657190906134690,1237657190906134690,1237657190906134690
1237657189836522368,1237657189836521691,1237657189836521691
1237663783674577235,1237663783674577235,1237663783674577235
1237663783675101443,1237663783675102160,1237663783675102160
1237657071695168169,1237657071695168161,1237657071695168161
1237657071694971672,1237657071694971672,1237657071694971672
1237657071162557344,1237657071162557344,1237657071162557344
1237657071162556782,1237657071162556782,1237657071162556782
1237657071160394158,1237657071160394157,1237657071160394158
1237657071159739530,1237657071159738464,1237657071159738468
1237657071158952159,1237657071158952159,1237657071158952159
1237657071158756420,1237657071158756420,1237657071158756420
1237657071158690993,1237657071158690993,1237657071158690993
1237657071157117877,1237657071157117877,1237657071157117877
1237657070091764614,1237657070091764614,1237657070091764614
1237657070091763964,1237657070091763960,1237657070091763960
1237666299485225121,1237666299485225121,1237666299485225109
1237657070091436643,1237657070091436641,1237657070091436641
1237657070090518970,1237657070090518970,1237657070090518956
1237657070090322452,1237657070090322451,1237657070090322451
1237657070089405211,1237657070089405190,1237657070089405193
1237657070089142517,1237657070089142517,1237657070089142517
1237657070088946695,1237657070088946421,1237657070088946422
1237657070088356009,1237657070088356008,1237657070088356009
1237657070088028759,1237657070088028759,1237657070088028759
1237657070087963511,1237657070087963511,1237657070087963511
1237657070087897637,1237657070087898413,1237657070087898413
1237657070087701174,1237657070087701174,1237657070087701175
1237657069549191986,1237657069549191712,1237657069549191712
1237657069548733383,1237657069548733378,1237657069548733378
1237657069548274584,1237657069548273927,1237657069548273927
1237657069546439756,1237657069546439036,1237657069546439036
1237656971302208129,1237656971302208352,1237656971302208352
1237656971302011390,1237656971302011901,1237656971302011901
1237656971301552324,1237656971301552324,1237656971301552324
1237656971301224981,1237656971301224978,1237656971301224978
1237663784739996013,1237663784739996013,1237663784739996013
1237663784739996069,1237663784739996069,1237663784739996069
1237663784743010468,1237663784743010462,1237663784743010462
1237656971300176498,1237656971300176498,1237656971300176498
1237663784745304419,1237663784745304419,1237663784745304419
1237666300555100436,1237666300555100436,1237666300555100436
1237663278465679442,1237663278465679442,1237663278465679442
1237663278466007341,1237663278466007342,1237663278466007342
1237663716556015081,1237663716556014494,1237663716556014494
1237663782589301190,1237663782589301190,1237663782589301190
1237663782591529667,1237663782591529337,1237663782591529338
1237663785282568651,1237663785282568326,1237663785282568326
1237663785282961662,1237663785282961662,1237663785282961662
1237663782591857469,1237663782591857090,1237663782591857090
1237663782591988266,1237663782591988265,1237663782591988265
1237663782592250790,1237663782592250790,1237663782592250790
1237663782592446699,1237663782592447419,1237663782592447419
1237663782592708877,1237663782592709060,1237663782592709060
1237663238205735746,1237663238205735548,1237663238205735548
1237666300018294954,1237666300018294954,1237666300018294954
1237663784202142840,1237663784202142838,1237663784202142838
1237666299484701098,1237666299484701098,1237666299484701098
1237666299485487531,1237666299485487531,1237666299485487531
1237663784202470389,1237663784202470366,1237663784202470366
1237666300016198253,1237666300016198253,1237666300016198253
1237666301629235386,1237666301629235386,1237666301629235386
1237663783124402460,1237663783124402460,1237663783124402460
1237666300019474915,1237666300019474915,1237666300019474916
1237666300021048022,1237666300021048022,1237666300021048022
1237666300021310164,1237666300021310164,1237666300021310164
1237666407919714578,1237666407919714578,1237666407919714578
1237666407920238747,1237666407920238734,1237666407920238734
1237663783128859164,1237663783128859164,1237663783128859164
1237663782600376783,1237663782600376783,1237663782600376783
1237666301092037179,1237666301092037179,1237666301092037179
1237666301092364888,1237666301092364888,1237666301092364888
1237666301092430631,1237666301092430630,1237666301092430630
1237666301092495741,1237666301092495581,1237666301092495581
1237666302165451144,1237666302165451144,1237666302165451145
1237663784203583865,1237663784203584055,1237663784203584055
1237663783129448610,1237663783129448610,1237663783129448610
1237656971301945655,1237656971301945655,1237656971301945655
1237663784203715530,1237663784203715527,1237663784203715527
1237663783131087334,1237663783131087334,1237663783131087334
1237678617419645131,1237678617419645131,1237678617419645131
1237663784203911909,1237663784203911914,1237663784203911914
1237663783131218064,1237663783131218064,1237663783131218064
1237663784204304509,1237663784204304508,1237663784204304509
1237666301631070609,1237666301631070609,1237666301631070609
1237666301631333077,1237666301631333077,1237666301631333077
1237666301632709007,1237666301632709007,1237666301632709008
1237678617974472851,1237678617974472851,1237678617974472851
1237666302168727681,1237666302168727681,1237666302168727681
1237666338115355558,1237666338115355553,1237666338115355553
1237663784204502225,1237663784204501415,1237663784204501415
1237666338116469255,1237666338116469255,1237666338116469255
1237666338651112376,1237666338651111528,1237666338651111528
1237680000377619141,1237680000377619141,1237680000377619141
1237666338651636608,1237666338651636386,1237666338651636386
1237666338651832582,1237666338651832582,1237666338651832582
1237666338651963901,1237666338651963900,1237666338651963901
1237666338653143469,1237666338653078414,1237666338653078414
1237666338653667875,1237666338653667671,1237666338653667671
1237666338653733113,1237666338653733726,1237666338653733726
1237666339188179469,1237666339188179470,1237666339188179469
1237663784207254733,1237663784207254456,1237663784207254733
1237663784206598300,1237663784206598300,1237663784206598300
1237660240313779339,1237660240313778703,1237660240313779339
1237663782595658008,1237663782595658009,1237663782595658008
1237663783133840729,1237663783133840489,1237663783133840728
1237657069547553268,1237657069547553264,1237657069547553833
1237657069547029358,1237657069547029358,1237657069547029560
1237663783125975957,1237663783125975496,1237663783125975956
1237666339189162931,1237666339189163214,1237666339189162913
1237666339189227733,1237666339189228019,1237666339189228019
1237666339189359083,1237666339189359083,1237666339189359083
1237666339189425127,1237666339189424735,1237666339189424735
1237657190369001859,1237657190369001579,1237657190369001579
1237666339189555669,1237666339189555211,1237666339189555670
1237663782595527065,1237663782595527065,1237663782595527064
1237666339189621827,1237666339189621643,1237666339189621643
1237666339190080390,1237666339190080388,1237666339190080389
1237663783661077456,1237663783661077454,1237663783661077454
1237666339190604401,1237666339190604400,1237666339190604401
1237666339725443254,1237666339725443719,1237666339725443720
1237666339726295560,1237666339726295555,1237666339726295529
1237666339726819704,1237666339726819703,1237666339726819703
1237666340799251449,1237663278471577772,1237663278471577772
1237666406848136238,1237666406848135910,1237666406848135910
1237666407379042514,1237666407379042514,1237666407379042515
1237666407379829719,1237666407379829719,1237666407379829719
1237666407379829722,1237666407379829123,1237666407379829123
1237657070619919165,1237657070619918542,1237657070619918542
1237666407379959849,1237666407379960114,1237666407379960114
1237666407379960482,1237666407379960482,1237666407379960482
1237663237667488096,1237663237667488094,1237663237667488094
1237666407381795581,1237666407381795130,1237666407381795581
1237666407916306787,1237666407916307217,1237666407916307217
1237666407916765693,1237666407916765693,1237666407916765693
1237666407916831792,1237666407916831792,1237666407916831792
1237666407917879984,1237666407917879984,1237666407917879984
1237663783135347670,1237663783135347670,1237663783135347670
1237666407918469900,1237666407918470201,1237666407918470201
1237666407919124709,1237666407919124709,1237666407919124709
1237663784206795252,1237663784206795250,1237663784206795250
1237663784206992460,1237663784206991793,1237663784206991793
1237666407920238904,1237666407920238904,1237666407920238905
1237666407920763171,1237666407920763170,1237666407920763171
1237663782593037096,1237663782593037096,1237663782593037099
1237666407921091008,1237666407921091008,1237666407921091008
1237666407921091088,1237666407921091088,1237666407921091088
1237666407922467313,1237666407922467824,1237666407922467824
1237666407922794679,1237666407922794679,1237666407922794679
1237666407923319650,1237666407923319116,1237666407923319116
1237666408455930542,1237666408455930542,1237666408455930541
1237666408456257744,1237666408456257744,1237666408456257744
1237666408456520695,1237666408456520056,1237666408456520056
1237666408456848174,1237666408456849000,1237666408456849000
1237666408457044951,1237666408457044575,1237666408457044574
1237666408458158821,1237666408458158821,1237666408458158821
1237666408458552117,1237666408458552412,1237666408458552412
1237666408458682907,1237666408458682907,1237666408458682887
1237666408459928012,1237666408459928012,1237666408459928012
1237663784215117842,1237663784215118256,1237663784215118256
1237663784215249659,1237663784215249659,1237663784215249659
1237666408459928293,1237666408459928291,1237666408459928291
1237663784216494587,1237663784216494586,1237663784216494587
1237663784216887871,1237663784216887867,1237663784216887865
1237663784217280650,1237663784217281202,1237663784217281202
1237666407918534870,1237666407918534870,1237666407918534870
1237663278465876454,1237663278465876153,1237663278465876153
1237678433791246405,1237678433791246405,1237678433791246405
1237678437015356479,1237678437015355830,1237678437015355830
1237678617430262191,1237678617430262191,1237678617430262191
1237678617430852193,1237678617430851717,1237678617430851717
1237663782598934714,1237663782598934714,1237663782598934714
1237663782598738384,1237663782598738384,1237663782598738384
1237678617430983108,1237678617430983108,1237678617430983108
1237663278465614311,1237663278465614311,1237663278465614311
1237678617431049253,1237678617431049253,1237678617431049621
1237678617431769463,1237678617431769462,1237678617431769462
1237678617431900342,1237678617431900326,1237678617431900333
1237678617432228342,1237678617432163480,1237678617432163480
1237678617432228946,1237678617432228578,1237678617432228578
1237666408456323506,1237666408456323506,1237666408456323506
1237663716019471544,1237663716019471544,1237663716019471544
1237663716019667195,1237663716019667195,1237663716019667195
1237678617434128951,1237678617434128951,1237678617434128951
1237678617434259727,1237678617434259727,1237678617434259727
1237678617435046604,1237678617435046603,1237678617435046604
1237678617972245283,1237678617972245283,1237678617972245283
1237678617972900310,1237678617972900310,1237678617972900310
1237663277928415463,1237663277928416178,1237663277928416178
1237666300555231333,1237666300555231786,1237666300555231786
1237666408458223930,1237666408458223930,1237666408458223930
1237666301626810514,1237666301626810514,1237666301626810514
1237666302165254609,1237666302165254609,1237666302165254609
1237666340799643743,1237666340799643743,1237666340799643743
1237666340799644113,1237666340799644113,1237666340799644114
1237666407381992344,1237666407381992340,1237666407381992340
1237666407920173381,1237666407920173378,1237666407920173381
1237678617974473026,1237678617974472931,1237678617974472931
1237663784218264219,1237663784218263857,1237663784218263857
1237680000377619247,1237680000377619247,1237680000377619247
1237656971301487637,1237656971301487257,1237656971301487257
1237657070089011212,1237657070089011207,1237657070089011213
1237657070089339075,1237657070089339071,1237657070089339071
1237657070620311897,1237657070620311705,1237657070620311705
1237663784740127188,1237663784740127188,1237663784740127188
1237663784206533288,1237663784206533288,1237663784206533289
1237663275780866661,1237663275780866974,1237663275780866974
1237663275780473600,1237678882094514771,1237678882094514771
1237657071697526861,1237657071697526861,1237657071697526861
1237663784740127965,1237663784740127344,1237663784740127344
1237663784740389772,1237663784740389772,1237663784740389772
1237663239278167236,1237663239278166068,1237663239278166068
1237663239278101231,1237663239278101231,1237663239278101231
1237663239277708106,1237663239277708106,1237663239277708106
1237657071697854722,1237657071697854719,1237657071697854719
1237657191444644038,1237657191444644038,1237657191444644038
1237663784210466257,1237663784210466243,1237663784210466243
1237657586029166709,1237657586029166709,1237657586029166709
1237660024522080591,1237660024522080588,1237660024522080591
1237663237128651869,1237663237128651866,1237663237128651866
1237663784740913758,1237663784740913758,1237663784740913758
1237663784741437763,1237663784741437763,1237663784741437763
1237663784212169556,1237663784212169897,1237663784212169894
1237663783137443959,1237663783137443958,1237663783137443959
1237657071696806065,1237657071696806064,1237657071696806065
1237657071162426245,1237657071162426245,1237657071162426245
1237657071159279735,1237657071159279746,1237657071159279735
1237663784212759140,1237663784212759139,1237663784212759139
1237657071157641854,1237657071157641854,1237657071157641854
1237657070090912006,1237663783141180456,1237663783141180456
1237660024524440180,1237660024524439899,1237660024524439899
1237660239778087263,1237660239778087264,1237660239778087263
1237660241387520325,1237660241387520325,1237660241387520325
1237660241923080340,1237660241923080339,1237660241923080344
1237660240312402491,1237660240312402496,1237660240312402494
1237663204918689951,1237663204918689951,1237663204918689951
1237663784216494145,1237663784216494696,1237663784216494696
1237663204921376920,1237663204921376920,1237663204921376921
1237678617973293327,1237678617973293327,1237678617973293327
1237660024521359835,1237660024521359835,1237660024521359835
1237663784743666086,1237663784743666086,1237663784743666086
1237657192517075134,1237657192517075134,1237657192517075135
1237663783126368504,1237663783126368503,1237663783126368504
1237663783672611350,1237663783672611350,1237663783672611350
1237657190905938414,1237657190905938411,1237657190905938411
1237663784201814382,1237663784201814382,1237663784201814382
1237663784744321699,1237663784744321698,1237663784744321698
1237663784745566463,1237663784745566463,1237663784745566463
1237663782596902999,1237663782596902999,1237663782596902999
1237663784209679290,1237663784209745237,1237663784209679303
1237663784742945041,1237663784742945041,1237663784742945040
